,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
270,0.17510307,0.0053595603,3.3246408,0.020371716,-0.042220503,0.011093527,0.074767105,-0.2,3.5,0.0,0.07
271,0.17393468,0.0063964836,3.374191,0.024801359,-0.039561722,0.013306475,0.12128442,-0.2,3.5,0.0,0.12
272,0.17811708,0.0078969,3.3740082,0.030292131,-0.030048368,0.016253887,0.16801673,-0.2,3.5,0.0,0.17
273,0.17179437,0.005255803,3.306099,0.021854186,0.05684998,0.011149223,0.07508048,-0.2,3.5,0.1,0.07
274,0.15534142,0.006481181,3.3192425,0.026053265,0.0105673885,0.013244904,0.12182125,-0.2,3.5,0.1,0.12
275,0.16700198,0.007704561,3.317002,0.031100128,0.030001665,0.015939126,0.16862266,-0.2,3.5,0.1,0.17
276,0.186389,0.0053175767,3.3591297,0.02024241,0.18239895,0.011219237,0.06766364,-0.2,3.5,0.2,0.07
277,0.1712092,0.006174061,3.3907025,0.0238412,0.14371012,0.012888136,0.11386833,-0.2,3.5,0.2,0.12
278,0.17291877,0.0073416764,3.279829,0.03016494,0.15029398,0.015568883,0.166412,-0.2,3.5,0.2,0.17
279,0.12757532,0.005148666,3.343456,0.020637967,-0.024707315,0.010761476,0.07027416,-0.15,3.5,0.0,0.07
280,0.121719345,0.0062036808,3.3647935,0.023833347,-0.04794625,0.013079619,0.123404525,-0.15,3.5,0.0,0.12
281,0.12170339,0.0071957675,3.340458,0.029408025,-0.052254993,0.015218287,0.1653262,-0.15,3.5,0.0,0.17
282,0.13093874,0.0051557943,3.338335,0.020186957,0.06459025,0.010760943,0.06996792,-0.15,3.5,0.1,0.07
283,0.12712754,0.0062183174,3.3242152,0.02443504,0.06086743,0.013177871,0.1239847,-0.15,3.5,0.1,0.12
284,0.12992986,0.0073799803,3.3234239,0.029620191,0.07959319,0.015624728,0.17067455,-0.15,3.5,0.1,0.17
285,0.12667775,0.005167466,3.3245406,0.019857762,0.16582292,0.010752648,0.06881534,-0.15,3.5,0.2,0.07
286,0.1293213,0.0062722126,3.2688365,0.025340885,0.15421937,0.0132456105,0.12489205,-0.15,3.5,0.2,0.12
287,0.10975673,0.007872239,3.2756515,0.031507537,0.115999706,0.016450793,0.1813667,-0.15,3.5,0.2,0.17
288,0.07940481,0.005336937,3.3490388,0.020095397,-0.028702771,0.010980527,0.07906979,-0.1,3.5,0.0,0.07
289,0.086400166,0.006134188,3.335413,0.0247353,-0.018230464,0.012865554,0.12051722,-0.1,3.5,0.0,0.12
290,0.07918397,0.007438883,3.3040125,0.033474002,-0.041915253,0.015856482,0.17628792,-0.1,3.5,0.0,0.17
291,0.08514356,0.0053488114,3.342823,0.021808568,0.077492535,0.0112705575,0.07839267,-0.1,3.5,0.1,0.07
292,0.077127635,0.006079093,3.3341722,0.025051394,0.06661342,0.012847933,0.12063745,-0.1,3.5,0.1,0.12
293,0.062206075,0.008043119,3.3152537,0.029776651,0.027728915,0.016568296,0.18284114,-0.1,3.5,0.1,0.17
294,0.100462645,0.004844782,3.3518803,0.01929301,0.21509442,0.01029606,0.067601964,-0.1,3.5,0.2,0.07
295,0.093618535,0.006294782,3.3413157,0.025618104,0.19726495,0.013246123,0.12742886,-0.1,3.5,0.2,0.12
296,0.079187386,0.0071952934,3.365715,0.02958462,0.17267153,0.015609323,0.16666923,-0.1,3.5,0.2,0.17
297,0.17776585,0.0061997687,4.3071637,0.023785895,-0.038667917,0.01303665,0.07461078,-0.2,4.5,0.0,0.07
298,0.17642488,0.0070897774,4.2670507,0.029182427,-0.03958085,0.015177346,0.12576799,-0.2,4.5,0.0,0.12
299,0.16836922,0.00828038,4.2983265,0.031272206,-0.06131943,0.0173386,0.16833255,-0.2,4.5,0.0,0.17
300,0.18207008,0.0060234615,4.325072,0.023625188,0.06308137,0.012566735,0.05263422,-0.2,4.5,0.1,0.07
301,0.17794308,0.007174811,4.295786,0.028710699,0.059125245,0.014970471,0.12111125,-0.2,4.5,0.1,0.12
302,0.16738363,0.008319514,4.29556,0.032740153,0.054577205,0.017566746,0.16574861,-0.2,4.5,0.1,0.17
303,0.1766863,0.0063177045,4.2911134,0.024946652,0.16559234,0.013227937,0.076508015,-0.2,4.5,0.2,0.07
304,0.17467785,0.0069572157,4.2562547,0.029087976,0.1637402,0.014743132,0.12330599,-0.2,4.5,0.2,0.12
305,0.17194791,0.008615876,4.2743297,0.03203336,0.1648967,0.017580343,0.17606883,-0.2,4.5,0.2,0.17
306,0.12497572,0.006175713,4.3451676,0.024516353,-0.044800553,0.013213264,0.078087926,-0.15,4.5,0.0,0.07
307,0.13753095,0.0069150813,4.3044095,0.02712085,-0.033410996,0.014368319,0.11819073,-0.15,4.5,0.0,0.12
308,0.12177858,0.008204837,4.2520657,0.033753246,-0.04355551,0.017160203,0.17243977,-0.15,4.5,0.0,0.17
309,0.13285659,0.0060621616,4.266747,0.02462627,0.06953587,0.012641941,0.073083214,-0.15,4.5,0.1,0.07
310,0.13638198,0.007012265,4.297698,0.028613687,0.07777152,0.014562116,0.12030727,-0.15,4.5,0.1,0.12
311,0.12865496,0.008048931,4.327598,0.032197285,0.05742141,0.016895125,0.160067,-0.15,4.5,0.1,0.17
312,0.13460454,0.005969191,4.2419734,0.024922028,0.19215274,0.012617604,0.07533435,-0.15,4.5,0.2,0.07
313,0.14183864,0.007273087,4.3065033,0.029653575,0.1855203,0.014969804,0.1295703,-0.15,4.5,0.2,0.12
314,0.12654127,0.008128432,4.3080306,0.03218275,0.15649359,0.017075406,0.16960256,-0.15,4.5,0.2,0.17
315,0.08156481,0.005955573,4.313299,0.02432001,-0.028729143,0.012422554,0.070170514,-0.1,4.5,0.0,0.07
316,0.09055582,0.0069817123,4.2767377,0.028404042,-0.023935465,0.014356377,0.12051525,-0.1,4.5,0.0,0.12
317,0.08172364,0.008328656,4.2526307,0.033345345,-0.048454586,0.017652206,0.1843691,-0.1,4.5,0.0,0.17
