,ztfname
1973,ZTF20aamuqwn
1977,ZTF20aanaibf
1986,ZTF20aanvpzo
1990,ZTF20aanyxvu
1991,ZTF20aaodkvl
1996,ZTF20aaomtwl
1997,ZTF20aaoojli
1999,ZTF20aaosoct
2001,ZTF20aaowuim
2002,ZTF20aapadwx
2003,ZTF20aapcmur
2008,ZTF20aaqhtcd
2010,ZTF20aaqpxtm
2011,ZTF20aaqshoz
2012,ZTF20aaqtebg
2014,ZTF20aaqvzko
2016,ZTF20aarasxl
2017,ZTF20aarbget
2022,ZTF20aascwar
2023,ZTF20aasdibr
2024,ZTF20aasfdfr
2025,ZTF20aasitqe
2026,ZTF20aasivxr
2027,ZTF20aasiwcu
2034,ZTF20aattqbi
2040,ZTF20aatvsjw
2041,ZTF20aatvzmm
2047,ZTF20aauombk
2048,ZTF20aauooag
2050,ZTF20aaupkac
2053,ZTF20aauqtcp
2056,ZTF20aaurhzc
2059,ZTF20aaurmtf
2061,ZTF20aaurwes
2063,ZTF20aaurzce
2065,ZTF20aautscv
2066,ZTF20aautzif
2068,ZTF20aauuiri
2071,ZTF20aauwjmw
2077,ZTF20aavhire
2078,ZTF20aavnnat
2079,ZTF20aavnnkm
2080,ZTF20aavnnqo
2087,ZTF20aavrloz
2089,ZTF20aavrzha
2094,ZTF20aawcjrx
2095,ZTF20aawdjlp
2096,ZTF20aawmlfq
2099,ZTF20aawqywr
2102,ZTF20aaxablt
2103,ZTF20aaxagnm
2105,ZTF20aaxbvkt
2124,ZTF20aayknlo
2125,ZTF20aaymbjk
2126,ZTF20aayubpi
2128,ZTF20aayvubx
2133,ZTF20aayxldg
2138,ZTF20aazewcq
2140,ZTF20aazgtmp
2144,ZTF20aazhzna
2145,ZTF20aazjwgh
2146,ZTF20aazkxcw
2149,ZTF20aaznpor
2151,ZTF20aazoqmh
2158,ZTF20aazquhc
2163,ZTF20aazymxi
2165,ZTF20abafzxx
2170,ZTF20abapvvq
2180,ZTF20abavxpk
2181,ZTF20abawgdl
2183,ZTF20abawtpy
2184,ZTF20abazekd
2189,ZTF20abbhyxu
2190,ZTF20abbihor
2192,ZTF20abbjwgc
2196,ZTF20abbrptu
2200,ZTF20abcgjvq
2202,ZTF20abciflj
2204,ZTF20abcqpdj
2206,ZTF20abcsjtx
2209,ZTF20abcwuwg
2211,ZTF20abcxnkh
2213,ZTF20abdsunu
2215,ZTF20abdxffu
2219,ZTF20abdzief
2220,ZTF20abdzrxo
2223,ZTF20abedyov
2224,ZTF20abeeahl
2225,ZTF20abeeyre
2228,ZTF20abeeytg
2233,ZTF20abefdvd
2236,ZTF20abegate
2237,ZTF20abegiry
2238,ZTF20abeglzu
2239,ZTF20abegoix
2245,ZTF20abeldyn
2246,ZTF20abeljuj
2248,ZTF20abeoicg
2251,ZTF20abeqsrm
2254,ZTF20abeyvwv
2255,ZTF20abeywdn
2258,ZTF20abffaxl
2259,ZTF20abfhway
2261,ZTF20abfklsy
2265,ZTF20abfyriw
2270,ZTF20abgbwmt
